id,status,domain,checkpoint,tracker,acceptance_summary,verification_summary,next_action
ED2K-001,verified,foundation,Tracker activation and exclusion reset,checkpoints/ED2K-001-tracker-activation.csv,"The ED2K tracker exists, core-modernization no longer treats native ED2K as excluded, and old compatibility bans remain intact.","Created docs/core-modernization/ed2k-native with overview, roadmap, capability ledger, dependency ledger, progress log, and checkpoint files. Updated root modernization references so native ED2K is delegated to this tracker. CSV validation for 54 files, stale exclusion scan, git diff --check, and cargo check --workspace --locked passed.",Start ED2K-002 authority license and dependency audit.
ED2K-002,verified,foundation,Authority license and dependency audit,checkpoints/ED2K-002-authority-dependencies.csv,"aMule behavior owners, aria2-next engineering references, Rust dependency candidates, and GPL isolation rules are recorded before code changes.","Mapped local aMule behavior owners, aria2-next ED2K tracker references, cargo search and cargo info dependency evidence, and GPL-to-Apache isolation rules. No complete Rust ED2K/eMule downloader engine was found; raria-ed2k must own the protocol with mature Rust primitives.","Start ED2K-003 crate boundary and native model."
ED2K-003,verified,architecture,Crate boundary and native model,checkpoints/ED2K-003-crate-model.csv,"raria-ed2k crate, core job kind, source protocol, config skeleton, persistence row names, and native projections compile without runtime ED2K behavior.","Created the raria-ed2k crate boundary, added JobKind::Ed2k, SourceProtocol::Ed2k, strict [ed2k] config parsing, ed2k_identities redb table, NativeEd2kIdentityRow versioning, add_uri ED2K classification, and an explicit daemon not-implemented guard. Focused tests and cargo check --workspace --locked passed.","Start ED2K-004 link parser and file identity."
ED2K-004,verified,links,ED2K link parser and safe names,checkpoints/ED2K-004-links.csv,"File, server, server list, nodes list, source, AICH, and search links parse into native structs with safe output names.","Implemented native ED2K link parsing for file, server, serverlist, nodeslist, and search links. File links preserve root hash, part hashes, AICH root, inline sources, crypt options, and safe names. /api/v1 task creation classifies ED2K file links as native ED2K jobs with opaque task IDs. Focused parser and native API tests passed.","Start ED2K-005 hashset and AICH."
ED2K-005,verified,integrity,ED2K hashset and AICH primitives,checkpoints/ED2K-005-hash-aich.csv,"ED2K root hashes, theoretical part-hash counts, MD4 hashsets, AICH roots, and recovery metadata are locally verified.","Implemented md4-backed ED2K digest and root helpers, theoretical hashset count validation, SHA-1 AICH root tree helpers, unpadded Base32 root parse/format, and local AICH recovery metadata verification. Focused tests, fmt, clippy for raria-ed2k, and cargo check --workspace --locked passed.","Start ED2K-006 bootstrap files."
ED2K-006,verified,metadata,server.met nodes.dat and bootstrap metadata,checkpoints/ED2K-006-bootstrap-files.csv,"server.met and nodes.dat useful bootstrap records parse into native durable metadata without importing legacy databases.","Implemented native server.met parsing and safe merge, native nodes.dat parsing with obsolete-contact filtering, and versioned redb rows for ED2K server and Kad bootstrap state. Focused raria-ed2k parser tests, raria-core persistence test, fmt, clippy for touched crates, and cargo check --workspace --locked passed.","Start ED2K-007 stable identity and config."
ED2K-007,verified,identity,Stable ED2K identity and raria.toml config,checkpoints/ED2K-007-identity-config.csv,"ED2K client identity, listen settings, server/Kad toggles, and runtime policy persist through native config and redb rows.","Implemented stable ED2K identity loading over native redb identity rows, projected ED2K raria.toml fields into GlobalConfig, and exposed native ED2K runtime config through /api/v1/config without legacy names. Focused identity, native_config, native API, crate tests, and clippy for touched crates passed.","Start ED2K-008 packet codec."
ED2K-008,verified,wire,Packet framing tags and opcode codec,checkpoints/ED2K-008-packet-codec.csv,"ED2K/eMule/Kad packet frames, tags, endian rules, size guards, compression wrappers, and malformed packet errors are locally verified.","Implemented raria-ed2k packet framing, typed tags, retained opcode maps, and zlib payload wrappers. RED tests failed before the modules existed; focused crate tests, fmt, clippy, and cargo check --workspace --locked passed.","Start ED2K-009 server TCP."
ED2K-009,verified,server,Server TCP login status and source discovery,checkpoints/ED2K-009-server-tcp.csv,"Server TCP login, ID assignment, status, source requests, found sources, server messages, and retry state follow retained aMule behavior.","Implemented native server TCP payload and state handling for login, IDChange, HighID/LowID derivation, status, identity tags, messages, GetSources, obfuscated FoundSources, and bounded retry policy. Focused raria-ed2k tests, fmt, clippy, diff check, and cargo check --workspace --locked passed.","Start ED2K-010 server UDP."
ED2K-010,verified,server,Server UDP status and source requests,checkpoints/ED2K-010-server-udp.csv,"Server UDP status, challenge handling, source requests, packed sources, and capability metadata are implemented with bounded cadence.","Implemented UDP status request and challenge handling, extended status metadata, hash-only and hash-size source request payloads, packed FoundSources parsing with unrelated-hash and bogus-tail safety, and bounded UDP cadence policy. Focused tests, fmt, clippy, and cargo check --workspace --locked passed.","Start ED2K-011 HighID LowID callback."
